page,num,type,width_px,height_px,color,components,bpc,encoding,interpolate,object_id,generation,x_ppi,y_ppi,file,bytes,sha256
15,27,mask,378,265,-,1,1,image,no,766,0,133,133,p015_n027_mask_obj766.png,2165,aa70138b528ddabab5cfb811fb0aaced00ba2ebb18e8c17ea3b794057cb88160
15,28,image,378,265,rgb,3,8,jpeg,no,774,0,133,133,p015_n028_image_obj774.jpg,14743,bed2bcd7491dd955052a5d489422904b43192cbe2cfbdeb0621c0a0dffba0cc0
15,29,mask,378,265,-,1,1,image,no,774,0,133,133,p015_n029_mask_obj774.png,1867,2ba6d21e9c949f572d9bb1288f19cb224cbc9ec37db7d8fc82984dbef36a25d0
16,30,image,903,632,rgb,3,8,jpeg,no,787,0,300,300,p016_n030_image_obj787.jpg,72490,d8abd9781c50e1d4708fd3d5a65df48c2741bfa9281a9f5b098897d5eee30824
16,31,mask,903,632,-,1,1,image,no,787,0,300,300,p016_n031_mask_obj787.png,10259,76bd7637352f0bf97a79bce130b56ae17d9a2dafe6e949b6fa92de575aa1db9e
16,32,image,903,632,rgb,3,8,jpeg,no,789,0,300,300,p016_n032_image_obj789.jpg,69807,4efc3d3ab9705548befe0f7d0db64149a583faa7d72aacdb9861129c88d75c8c
16,33,mask,903,632,-,1,1,image,no,789,0,300,300,p016_n033_mask_obj789.png,10207,7c2699cad7b5c3d412a09fc8a073bfcfe6c7437736a4c01106d9790b54d7b8ea
21,34,image,123,138,rgb,3,8,image,no,880,0,610,601,p021_n034_image_obj880.png,305,f1a05ad88a6cd4e58b2fa394be180e3b30c46a73a7342214b2b9beaef154a2b3
21,35,image,123,138,rgb,3,8,image,no,882,0,610,601,p021_n035_image_obj882.png,317,56b12977f2f98476d8b4645ebdc811a55b65726b7785da5c3a3f45ed67203b71
32,36,image,1261,271,rgb,3,8,jpeg,no,533,0,192,192,p032_n036_image_obj533.jpg,33155,827c3f9eb224fb0b6b241aa2f6bd0d2c3f1d23515478c0f9f226e188de4acf57
33,37,image,413,294,rgb,3,8,jpeg,no,569,0,160,168,p033_n037_image_obj569.jpg,15049,00fdc7bad945d19766351cd20c376986af86fd6e272946535e4ce0a21cbdda9c
33,38,image,413,291,rgb,3,8,jpeg,no,570,0,164,170,p033_n038_image_obj570.jpg,14918,05afb422887308010b285332208b2b19420936f3afee0854729b38306313bcbd
38,39,image,827,567,rgb,3,8,jpeg,no,1159,0,300,300,p038_n039_image_obj1159.jpg,42222,edae0cf008c758667f97ce7e0634d6a7933c97e6f39791ed0624ae3b0b375f85
38,40,mask,827,567,-,1,1,image,no,1159,0,300,300,p038_n040_mask_obj1159.png,5498,456535283ccafd59c5a36a024b8095ae64cc9cc5b15fc61f387c063584d8c0b7
38,41,image,378,265,rgb,3,8,jpeg,no,1161,0,137,140,p038_n041_image_obj1161.jpg,15378,8b0c11cbd52bcc715f2dde33d7861019f6c50c6815390e05d14d8aec7903713d
38,42,mask,378,265,-,1,1,image,no,1161,0,137,140,p038_n042_mask_obj1161.png,1951,7ab91dab8eba35cfeab6921ffafa433d319e69ad356cb5ee2ff86b8727d5b2ca
38,43,image,827,567,rgb,3,8,jpeg,no,1163,0,300,300,p038_n043_image_obj1163.jpg,44184,5ad2eeec9611c818b0254a1674544e436aab0879e212526d98e620866f287a9e
38,44,mask,827,567,-,1,1,image,no,1163,0,300,300,p038_n044_mask_obj1163.png,5644,1040c90f1607fb5e8f9949072ecffb97f1cb59dfe6677e5994fe03f5505edbe3
38,45,image,1182,827,rgb,3,8,jpeg,no,1167,0,429,438,p038_n045_image_obj1167.jpg,65602,ad0e1e11a8be8747eba21e5c8d12747698ec00627e0547adda114bdda74caeae
38,46,mask,1182,827,-,1,1,image,no,1167,0,429,438,p038_n046_mask_obj1167.png,6398,36ffb5154e2b3a0940fe85201f949a7b658e699ce4bff214e2486c81ae51098d
38,47,image,378,265,rgb,3,8,jpeg,no,1169,0,137,140,p038_n047_image_obj1169.jpg,16963,2f1fc92eae3a0151b55c1433a31c167a2b2795cbee26b6506e9b473c8caceeea
